time_iso8601,forks_cumulative
2021-06-11 00:00:00+00:00,1
2021-11-05 00:00:00+00:00,2
2021-12-03 00:00:00+00:00,3
2021-12-16 00:00:00+00:00,4
2021-12-29 00:00:00+00:00,5
2022-01-09 00:00:00+00:00,6
2022-01-17 00:00:00+00:00,7
2022-01-31 00:00:00+00:00,8
2022-02-08 00:00:00+00:00,9
2022-02-16 00:00:00+00:00,10
2022-02-24 00:00:00+00:00,11
2022-04-12 00:00:00+00:00,12
2022-05-14 00:00:00+00:00,13
2022-05-19 00:00:00+00:00,14
2022-05-23 00:00:00+00:00,15
2022-06-05 00:00:00+00:00,16
2022-06-21 00:00:00+00:00,17
2022-06-23 00:00:00+00:00,18
2022-06-29 00:00:00+00:00,19
2022-07-20 00:00:00+00:00,20
2022-07-23 00:00:00+00:00,21
2022-08-16 00:00:00+00:00,22
2022-09-03 00:00:00+00:00,23
2022-09-28 00:00:00+00:00,24
2022-10-19 00:00:00+00:00,25
2022-10-25 00:00:00+00:00,26
2022-11-07 00:00:00+00:00,27
2022-11-17 00:00:00+00:00,28
2022-11-18 00:00:00+00:00,29
2022-11-29 00:00:00+00:00,30
